GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
34,2193.89,5041.38,6295.28,590.13,368.44,-325.26,-4500.02,-36985.3,1827.34,18279.49,-8219.14,239.07,-7214.63,-7980.08,-15194.71
35,2173.47,5063.64,6299.41,622.47,335.63,-320.61,-4513.56,-37183.44,1863.3,18326.1,-8145.62,237.92,-7333.6,-7907.71,-15241.3
36,2201.65,5144.38,6302.6,610.37,345.81,-347.92,-4544.53,-37098.97,1793.34,18195.77,-8087.07,235.69,-7397.48,-7851.38,-15248.86
37,2200.72,5016.97,6277.96,590.91,326.28,-282.89,-4451.43,-37317.56,1886.96,18304.87,-8005.22,238.31,-7447.21,-7766.91,-15214.12
38,2148.68,5154.79,6244.95,651.85,323.77,-300.83,-4478.86,-37098.29,1803.05,18239.24,-8180.91,239.87,-7311.64,-7941.04,-15252.67
39,2169.82,5222.62,6314.74,628.97,337.99,-307.73,-4520.43,-36921.29,1843.69,18201.45,-8204.03,237.48,-7030.16,-7966.55,-14996.71
40,2194.48,5046.99,6261.96,606.59,339.24,-304.87,-4568.97,-36973.22,1822.7,18335.08,-8280.95,235.43,-7240.05,-8045.51,-15285.56
41,2193.25,5150.28,6288.04,630.88,338.39,-333.21,-4485.51,-36711.41,1859.19,18213.53,-8469.04,244.34,-6856.57,-8224.71,-15081.27
42,2127.67,5147.56,6269.02,623.84,333.17,-288.02,-4479.81,-36953.57,1880.03,18191.27,-8253.3,238.58,-7148.84,-8014.72,-15163.56
43,2144.39,5167.78,6307.5,623.16,334.25,-321.89,-4472.54,-37021.04,1878.07,18186.14,-8207.43,238.28,-7174.17,-7969.15,-15143.33
44,2221.6,5098.4,6306.54,632.35,341.09,-313.01,-4521.41,-37078.57,1856.6,18232.46,-8158.11,240.46,-7223.96,-7917.65,-15141.61
45,2234.42,5132.27,6280.89,608.7,349.59,-306.12,-4504.29,-37222.39,1832.56,18091.59,-7924.98,236.8,-7502.77,-7688.18,-15190.95
46,2229.67,5098.16,6253.2,607.97,360.05,-295.1,-4508.57,-37125.79,1855.08,18194.58,-8053.08,234.82,-7330.75,-7818.26,-15149.01
47,2208.4,5143.81,6242.48,633.79,342.53,-285.81,-4524.26,-37105.31,1842.69,18188.71,-8081.21,235.64,-7312.97,-7845.57,-15158.54
48,2176.91,5162.44,6277.79,616.89,333.2,-304.22,-4506.18,-37088.13,1844.82,18271.34,-8157.43,238.34,-7215.14,-7919.1,-15134.23
49,2221.17,5014.53,6272.38,621.78,346.5,-301.15,-4540.11,-36884.97,1842.59,18274.5,-8314.93,239.67,-7132.78,-8075.26,-15208.04
50,2145.01,4965.2,6274.15,611.63,320.65,-286.22,-4533.76,-36974.12,1842.84,18366.48,-8284.47,239.86,-7268.15,-8044.6,-15312.75
51,2187.91,5220.26,6219.13,608.88,340.35,-287.46,-4571.62,-36997.82,1807.03,18347.08,-8234.29,235.92,-7126.26,-7998.37,-15124.63
52,2220.85,5119.86,6267.54,623.18,337.48,-299.98,-4511.22,-36849.13,1821.16,18195.87,-8343.26,236.52,-7074.38,-8106.74,-15181.12
53,2120.28,5136.83,6259.19,634.32,375.7,-281.84,-4505.53,-37208.62,1848.67,18398.91,-8052.88,235.51,-7222.09,-7817.37,-15039.46
54,2150.63,5093.96,6283.95,603.53,301.93,-274.84,-4589.12,-37204.71,1852.23,18415.46,-8083.33,239.2,-7366.99,-7844.13,-15211.12
55,2130.37,5040.98,6249.92,614.42,335.57,-294.66,-4514.52,-37316.76,1858.22,18294.67,-7934.81,240.62,-7601.78,-7694.19,-15295.97
56,2231.65,5178.69,6263.59,621.14,326.99,-305.91,-4512.64,-37216.6,1837.55,18332.56,-8092.38,239.74,-7242.97,-7852.64,-15095.61
57,2122.04,5091.52,6257.33,615.54,352.59,-288.45,-4513.45,-37152.78,1836.37,18330.4,-8196.18,236.74,-7348.88,-7959.44,-15308.32
58,2217.73,5049.65,6309.14,609.12,340.22,-302.09,-4477.7,-37193.25,1847.89,18304.36,-8142.49,243.95,-7294.93,-7898.54,-15193.47
59,2162.5,5118.21,6255.04,600.81,335.04,-314.15,-4523.16,-37147.88,1840.38,18385.91,-8182.11,240.43,-7287.3,-7941.68,-15228.98
60,2159.6,5079.87,6295.8,613.15,337.8,-299.68,-4540.63,-37302.85,1880.11,18406.16,-7999.56,240.59,-7370.67,-7758.96,-15129.63
61,2171.52,5109.75,6238.46,616.5,339.12,-340.88,-4495.77,-37154.89,1824.08,18381.14,-8137.39,238.1,-7310.97,-7899.29,-15210.26
62,2196.99,5012.14,6244.95,622.07,310.09,-308.76,-4462.29,-37135.91,1877.69,18429.06,-8232.91,246.74,-7213.97,-7986.17,-15200.15
63,2211.57,5109.42,6238.64,618.68,344.44,-338.09,-4400.34,-37226.59,1839.42,18314.62,-8074.06,241.11,-7288.23,-7832.95,-15121.17
64,2208.17,4994.85,6251.09,594.97,347.12,-324.22,-4483.14,-37314.67,1826.65,18377.5,-8029.07,242.4,-7521.67,-7786.67,-15308.34
65,2178.16,4940.51,6229.86,614.32,326.31,-291.38,-4526.33,-37327.15,1845.94,18519.05,-8072.39,243.22,-7490.72,-7829.17,-15319.89
66,2099.84,5060.1,6208.65,611.22,321.15,-270.39,-4471.83,-37296.32,1873.97,18383.08,-8066.75,241.13,-7480.55,-7825.62,-15306.16
67,2144.99,5114.78,6268.45,614.83,347.14,-315.03,-4547.52,-37094.64,1860.94,18382.93,-8213.25,242.06,-7223.13,-7971.19,-15194.32
68,2189.65,5054.68,6277.11,606.74,326.75,-298.31,-4499.25,-37222.03,1833.06,18283.88,-8082.53,239.45,-7447.73,-7843.08,-15290.81
69,2120.08,5150.28,6276.2,613.8,355.68,-308.53,-4551.37,-37168.32,1839.99,18446.62,-8236.1,237.61,-7225.58,-7998.5,-15224.08
70,2150.61,5060.33,6258.22,625.07,349.87,-305.16,-4477.85,-37206.2,1862.16,18315.09,-8093.24,240.81,-7367.85,-7852.42,-15220.27
71,2147.28,4974.85,6211.77,605.52,314.82,-282.21,-4562.7,-36994.3,1865.78,18376.64,-8313.45,243.27,-7342.54,-8070.19,-15412.73
